time,ppg,beat
20218223520,1.8768,0.0
20218223520,2.5024,0.0
20218223520,2.8152,0.0
20218223520,2.1896,0.0
20218223520,0.6256,0.0
20218223520,0.0,0.0
20218223520,1.8768,0.0
20218223520,2.8152,0.0
20218223520,2.8152,0.0
20218223520,1.564,0.0
20218223520,0.3128,0.0
20218223520,0.3128,0.0
20218223520,1.8768,0.0
20218223520,2.8152,0.0
20218223520,2.8152,0.0
20218223520,1.2512,0.0
20218223520,0.0,0.0
20218223520,0.6256,0.0
20218223520,2.1896,0.0
20218223520,2.8152,0.0
20218223520,2.8152,0.0
20218223520,1.564,0.0
20218223520,0.3128,0.0
20218223520,0.3128,0.0
20218223520,2.1896,0.0
20218223520,8.1329,305.9238
20218223520,3.4409,305.9238
20218223520,1.8768,305.6109
20218223520,0.9384,305.9238
20218223520,0.0,304.9853
20218223520,0.6256,304.9853
20218223520,2.1896,305.6109
20218223520,0.0,0.0
20218223520,2.8152,0.0
20218223520,1.564,0.0
20218223520,0.3128,0.0
20218223520,0.3128,0.0
20218223520,1.8768,0.0
20218223520,2.5024,0.0
20218223520,2.8152,0.0
20218223520,2.1896,0.0
20218223520,0.6256,0.0
20218223520,0.0,0.0
20218223520,0.9384,0.0
20218223520,2.5024,0.0
20218223520,2.8152,0.0
20218223520,2.5024,0.0
20218223520,1.2512,0.0
20218223520,0.3128,0.0
20218223520,0.9384,0.0
20218223520,2.5024,0.0
20218223520,2.8152,0.0
20218223520,2.8152,0.0
20218223520,1.2512,0.0
20218223520,0.0,0.0
20218223520,0.6256,0.0
20218223520,2.5024,0.0
20218223520,2.8152,0.0
20218223520,2.5024,0.0
20218223520,0.9384,0.0
20218223520,0.0,0.0
20218223520,0.9384,0.0
20218223520,2.5024,0.0
20218223520,3.1281,0.0
20218223520,2.5024,0.0
20218223520,0.9384,0.0
20218223521,0.0,0.0
20218223521,0.9384,0.0
20218223521,2.5024,0.0
20218223521,7.8201,305.6109
20218223521,3.1281,305.6109
20218223521,1.564,305.6109
20218223521,0.3128,305.9238
20218223521,0.3128,304.9853
20218223521,1.564,305.9238
20218223521,2.8152,305.9238
20218223521,2.8152,167.6637
20218223521,1.8768,0.0
20218223521,0.6256,0.0
20218223521,0.0,0.0
20218223521,1.564,0.0
20218223521,2.8152,0.0
20218223521,3.1281,0.0
20218223521,2.8152,0.0
20218223521,0.6256,0.0
20218223521,0.0,0.0
20218223521,1.2512,0.0
20218223521,2.5024,0.0
20218223521,2.8152,0.0
20218223521,2.8152,0.0
20218223521,0.6256,0.0
20218223521,0.0,0.0
20218223521,1.2512,0.0
20218223521,2.8152,0.0
20218223521,3.1281,0.0
20218223521,2.5024,0.0
20218223521,0.9384,0.0
20218223521,0.0,0.0
20218223521,0.9384,0.0
20218223521,2.5024,0.0
20218223521,2.8152,0.0
20218223521,2.5024,0.0
20218223521,0.9384,0.0
20218223521,0.0,0.0
20218223521,0.9384,0.0
20218223521,2.5024,0.0
20218223521,2.8152,0.0
20218223521,2.5024,0.0
20218223521,0.9384,0.0
20218223521,0.0,0.0
20218223521,0.9384,0.0
20218223521,2.5024,0.0
20218223521,2.8152,0.0
20218223521,2.8152,0.0
20218223521,1.8768,305.6109
20218223521,5.3177,305.6109
20218223521,0.6256,305.6109
20218223521,1.2512,305.6109
20218223521,2.5024,305.9238
20218223521,3.1281,305.9238
20218223521,2.8152,305.6109
20218223521,1.8768,305.9238
20218223521,0.0,305.9238
20218223521,0.0,0.0
20218223521,1.8768,0.0
20218223521,2.8152,0.0
20218223521,2.5024,0.0
20218223521,1.564,0.0
20218223521,0.0,0.0
20218223521,0.3128,0.0
20218223521,2.1896,0.0
20218223521,2.8152,0.0
20218223521,2.8152,0.0
20218223521,1.564,0.0
20218223521,0.6256,0.0
20218223521,0.3128,0.0
20218223521,1.8768,0.0
20218223522,2.5024,0.0
20218223522,2.8152,0.0
20218223522,1.564,0.0
20218223522,0.3128,0.0
